frec(GHz)   Temperatura[mK]   cont_sinlineas
      95.9695      -0.188317      -0.188317
      96.0008      0.0910869      0.0910869
      96.0320     -0.0149616     -0.0149616
      96.0633      0.0439781      0.0439781
      96.0945      0.0539793      0.0539793
      96.1258     -0.0455142     -0.0455142
      96.1570     -0.0157199     -0.0157199
      96.1883      0.0270276      0.0270276
      96.2195      -0.185015      -0.185015
      96.2508       0.118563       0.118563
      96.2820       0.518663      0.0571373
      96.3133        1.51801     0.00561170
      96.3445        1.18211     -0.0485691
      96.3758       0.423519      0.0254286
      96.4070       0.133079      0.0211807
      96.4383     0.00586887     0.00586887
      96.4695      -0.132046      -0.132046
      96.5008       0.141420       0.141420
      96.5320     -0.0566179     -0.0566179
      96.5633      -0.156705      -0.156705
